Generation,Bird_ID,Score
1,0,3
1,1,3
1,2,3
1,3,3
1,4,3
1,5,3
1,6,3
1,7,3
1,8,3
1,9,3
1,10,3
1,11,3
1,12,0
1,13,0
1,14,0
1,15,0
1,16,0
1,17,0
1,18,0
1,19,0
2,0,3
2,1,3
2,2,3
2,3,3
2,4,3
2,5,3
2,6,3
2,7,3
2,8,3
2,9,3
2,10,3
2,11,3
2,12,3
2,13,3
2,14,3
2,15,3
2,16,1
2,17,1
2,18,1
2,19,1
3,0,15
3,1,7
3,2,6
3,3,6
3,4,6
3,5,6
3,6,6
3,7,6
3,8,6
3,9,6
3,10,6
3,11,6
3,12,6
3,13,6
3,14,6
3,15,4
3,16,1
3,17,1
3,18,1
3,19,1
4,0,26
4,1,26
4,2,26
4,3,26
4,4,26
4,5,26
4,6,26
4,7,26
4,8,26
4,9,26
4,10,26
4,11,26
4,12,26
4,13,26
4,14,9
4,15,9
4,16,9
4,17,9
4,18,9
4,19,0
5,0,3
5,1,3
5,2,3
5,3,3
5,4,3
5,5,3
5,6,3
5,7,3
5,8,3
5,9,3
5,10,3
5,11,3
5,12,3
5,13,3
5,14,3
5,15,3
5,16,3
5,17,3
5,18,3
5,19,3
6,0,4
6,1,4
6,2,4
6,3,4
6,4,4
6,5,4
6,6,4
6,7,4
6,8,4
6,9,4
6,10,4
6,11,4
6,12,4
6,13,4
6,14,4
6,15,4
6,16,4
6,17,4
6,18,4
6,19,4
7,0,6
7,1,6
7,2,6
7,3,3
7,4,2
7,5,2
7,6,2
7,7,2
7,8,2
7,9,2
7,10,2
7,11,2
7,12,2
7,13,2
7,14,2
7,15,2
7,16,2
7,17,2
7,18,2
7,19,2
8,0,2
8,1,1
8,2,1
8,3,1
8,4,1
8,5,1
8,6,1
8,7,1
8,8,1
8,9,1
8,10,1
8,11,1
8,12,1
8,13,1
8,14,1
8,15,1
8,16,1
8,17,1
8,18,1
8,19,1
9,0,9
9,1,9
9,2,9
9,3,9
9,4,9
9,5,9
9,6,9
9,7,9
9,8,9
9,9,9
9,10,9
9,11,9
9,12,9
9,13,9
9,14,9
9,15,9
9,16,9
9,17,9
9,18,9
9,19,9
10,0,1
10,1,1
10,2,1
10,3,1
10,4,1
10,5,1
10,6,1
10,7,1
10,8,1
10,9,1
10,10,1
10,11,1
10,12,1
10,13,1
10,14,1
10,15,1
10,16,1
10,17,1
10,18,1
10,19,1
11,0,7
11,1,7
11,2,7
11,3,1
11,4,1
11,5,1
11,6,1
11,7,1
11,8,1
11,9,1
11,10,1
11,11,1
11,12,1
11,13,1
11,14,1
11,15,1
11,16,1
11,17,1
11,18,1
11,19,1
12,0,16
12,1,16
12,2,16
12,3,16
12,4,16
12,5,16
12,6,16
12,7,16
12,8,16
12,9,16
12,10,14
12,11,14
12,12,14
12,13,14
12,14,14
12,15,14
12,16,14
12,17,14
12,18,14
12,19,14
13,0,4
13,1,3
13,2,3
13,3,3
13,4,3
13,5,3
13,6,3
13,7,3
13,8,3
13,9,3
13,10,3
13,11,3
13,12,3
13,13,3
13,14,3
13,15,3
13,16,3
13,17,3
13,18,3
13,19,3
14,0,5
14,1,5
14,2,5
14,3,5
14,4,5
14,5,5
14,6,5
14,7,5
14,8,5
14,9,5
14,10,5
14,11,5
14,12,5
14,13,5
14,14,5
14,15,5
14,16,5
14,17,5
14,18,5
14,19,5
15,0,4
15,1,4
15,2,4
15,3,4
15,4,4
15,5,4
15,6,4
15,7,4
15,8,4
15,9,4
15,10,4
15,11,4
15,12,4
15,13,4
15,14,4
15,15,4
15,16,4
15,17,4
15,18,4
15,19,2
16,0,22
16,1,22
16,2,20
16,3,20
16,4,20
16,5,20
16,6,20
16,7,20
16,8,20
16,9,20
16,10,20
16,11,20
16,12,20
16,13,20
16,14,20
16,15,20
16,16,20
16,17,20
16,18,20
16,19,15
17,0,5
17,1,5
17,2,5
17,3,5
17,4,5
17,5,5
17,6,5
17,7,5
17,8,5
17,9,5
17,10,5
17,11,5
17,12,5
17,13,5
17,14,5
17,15,5
17,16,5
17,17,5
17,18,5
17,19,5
18,0,10
18,1,10
18,2,10
