Generation,Bird_ID,Score
1,0,8
1,1,8
1,2,8
1,3,8
1,4,8
1,5,8
1,6,8
1,7,8
1,8,8
1,9,8
1,10,8
1,11,3
1,12,1
1,13,0
1,14,0
1,15,0
1,16,0
1,17,0
1,18,0
1,19,0
2,0,15
2,1,15
2,2,15
2,3,15
2,4,15
2,5,15
2,6,15
2,7,15
2,8,15
2,9,15
2,10,15
2,11,15
2,12,15
2,13,15
2,14,3
2,15,3
2,16,3
2,17,3
2,18,3
2,19,3
3,0,10
3,1,10
3,2,10
3,3,10
3,4,10
3,5,10
3,6,10
3,7,10
3,8,10
3,9,10
3,10,10
3,11,10
3,12,10
3,13,10
3,14,10
3,15,10
3,16,10
3,17,10
3,18,9
3,19,9
4,0,20
4,1,10
4,2,10
4,3,10
4,4,10
4,5,10
4,6,10
4,7,10
4,8,10
4,9,10
4,10,10
4,11,10
4,12,10
4,13,10
4,14,10
4,15,10
4,16,10
4,17,10
4,18,10
4,19,10
5,0,4
5,1,4
5,2,4
5,3,4
5,4,4
5,5,4
5,6,4
5,7,4
5,8,4
5,9,4
5,10,4
5,11,4
5,12,4
5,13,4
5,14,4
5,15,4
5,16,4
5,17,4
5,18,4
5,19,1
1,0,6
1,1,6
1,2,6
1,3,6
1,4,5
1,5,5
1,6,5
1,7,5
1,8,2
1,9,2
1,10,2
1,11,1
1,12,1
1,13,1
1,14,1
1,15,1
1,16,0
1,17,0
1,18,0
1,19,0
1,0,5
1,1,5
1,2,5
1,3,5
1,4,5
1,5,5
1,6,5
1,7,5
1,8,5
1,9,5
1,10,5
1,11,5
1,12,0
1,13,0
1,14,0
1,15,0
1,16,0
1,17,0
1,18,0
1,19,0
1,0,7
1,1,6
1,2,6
1,3,6
1,4,6
1,5,6
1,6,6
1,7,6
1,8,1
1,9,1
1,10,0
1,11,0
1,12,0
1,13,0
1,14,0
1,15,0
1,16,0
1,17,0
1,18,0
1,19,0
2,0,4
2,1,4
2,2,4
2,3,4
2,4,4
2,5,4
2,6,4
2,7,4
2,8,4
2,9,4
2,10,4
2,11,4
2,12,4
2,13,4
2,14,4
2,15,4
2,16,4
2,17,4
2,18,4
2,19,4
1,0,3
1,1,3
1,2,3
1,3,3
1,4,3
1,5,3
1,6,3
1,7,3
1,8,3
1,9,3
1,10,3
1,11,3
1,12,0
1,13,0
1,14,0
1,15,0
1,16,0
1,17,0
1,18,0
1,19,0
2,0,3
2,1,3
2,2,3
2,3,3
2,4,3
2,5,3
2,6,3
2,7,3
2,8,3
2,9,3
2,10,3
2,11,3
2,12,3
2,13,3
2,14,3
2,15,3
2,16,3
2,17,3
2,18,3
2,19,2
3,0,4
3,1,4
3,2,4
3,3,4
3,4,4
3,5,4
3,6,4
3,7,4
3,8,4
3,9,4
3,10,4
3,11,4
3,12,4
3,13,4
3,14,4
3,15,4
3,16,4
3,17,4
3,18,4
3,19,4
4,0,9
4,1,9
4,2,9
4,3,9
4,4,9
4,5,9
4,6,9
4,7,9
4,8,9
4,9,9
4,10,9
4,11,9
4,12,9
4,13,9
4,14,9
4,15,9
4,16,9
4,17,9
4,18,9
4,19,9
5,0,8
5,1,8
5,2,8
5,3,8
5,4,8
5,5,8
5,6,8
5,7,8
5,8,8
5,9,8
5,10,8
5,11,8
5,12,8
5,13,8
5,14,3
5,15,3
5,16,3
5,17,3
5,18,3
5,19,3
1,0,3
1,1,3
1,2,3
1,3,3
1,4,3
1,5,3
1,6,3
1,7,3
1,8,3
1,9,3
1,10,3
1,11,3
1,12,3
1,13,3
1,14,3
1,15,0
1,16,0
1,17,0
1,18,0
1,19,0
1,0,6
1,1,6
1,2,6
1,3,6
1,4,6
1,5,6
1,6,6
1,7,6
1,8,6
1,9,2
1,10,0
1,11,0
1,12,0
1,13,0
1,14,0
1,15,0
1,16,0
1,17,0
1,18,0
1,19,0
2,0,7
2,1,7
2,2,4
2,3,4
2,4,4
2,5,4
2,6,4
2,7,4
2,8,4
2,9,4
2,10,4
2,11,4
2,12,4
2,13,4
2,14,4
2,15,4
2,16,4
2,17,4
2,18,4
2,19,4
3,0,7
3,1,7
3,2,7
3,3,7
3,4,7
3,5,7
3,6,7
3,7,7
3,8,7
3,9,7
3,10,7
3,11,7
3,12,7
3,13,7
3,14,7
3,15,6
3,16,6
3,17,6
3,18,6
3,19,6
4,0,22
4,1,1
4,2,1
4,3,1
4,4,1
4,5,1
4,6,1
4,7,1
4,8,1
4,9,1
4,10,1
4,11,1
4,12,1
4,13,1
4,14,1
4,15,1
4,16,1
4,17,1
4,18,1
4,19,1
1,0,6
1,1,6
1,2,6
1,3,6
1,4,6
1,5,6
1,6,6
1,7,6
1,8,6
1,9,6
1,10,6
1,11,6
1,12,0
1,13,0
1,14,0
1,15,0
1,16,0
1,17,0
1,18,0
1,19,0
2,0,28
2,1,28
2,2,28
2,3,28
2,4,28
2,5,28
2,6,28
2,7,28
2,8,28
2,9,28
2,10,28
2,11,28
2,12,28
2,13,28
2,14,28
2,15,28
2,16,28
2,17,28
2,18,28
2,19,28
1,0,22
1,1,22
1,2,22
1,3,22
1,4,22
1,5,22
1,6,22
1,7,22
1,8,22
1,9,22
1,10,22
1,11,5
1,12,0
1,13,0
1,14,0
1,15,0
1,16,0
1,17,0
1,18,0
1,19,0
2,0,3
2,1,3
2,2,3
2,3,3
2,4,3
2,5,3
2,6,3
2,7,3
2,8,3
2,9,3
2,10,3
2,11,3
2,12,3
2,13,3
2,14,3
2,15,3
2,16,3
2,17,3
2,18,3
2,19,3
3,0,9
3,1,9
3,2,9
3,3,4
3,4,4
3,5,4
3,6,4
3,7,4
3,8,4
3,9,4
3,10,4
3,11,2
3,12,2
3,13,2
