Generation,Bird_ID,Score
1,0,12
1,1,12
1,2,12
1,3,12
1,4,12
1,5,12
1,6,12
1,7,12
1,8,1
1,9,1
1,10,0
1,11,0
1,12,0
1,13,0
1,14,0
1,15,0
1,16,0
1,17,0
1,18,0
1,19,0
2,0,7
2,1,7
2,2,7
2,3,7
2,4,7
2,5,7
2,6,7
2,7,7
2,8,7
2,9,7
2,10,7
2,11,7
2,12,7
2,13,7
2,14,7
2,15,7
2,16,7
2,17,7
2,18,7
2,19,7
3,0,12
3,1,6
3,2,6
3,3,6
3,4,6
3,5,6
3,6,6
3,7,6
3,8,6
3,9,6
3,10,6
3,11,6
3,12,6
3,13,6
3,14,6
3,15,6
3,16,6
3,17,6
3,18,6
3,19,6
1,0,5
1,1,5
1,2,5
1,3,5
1,4,5
1,5,5
1,6,5
1,7,0
1,8,0
1,9,0
1,10,0
1,11,0
1,12,0
1,13,0
1,14,0
1,15,0
1,16,0
1,17,0
1,18,0
1,19,0
1,0,4
1,1,4
1,2,4
1,3,4
1,4,4
1,5,4
1,6,4
1,7,1
1,8,1
1,9,0
1,10,0
1,11,0
1,12,0
1,13,0
1,14,0
1,15,0
1,16,0
1,17,0
1,18,0
1,19,0
